title,price
"STORY OF SEASONS: Pioneers of Olive Town (Simplified Chinese, Korean, Traditional Chinese)","Rp 320,000"
"Dead by Daylight PS4™ & PS5™ (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 429,000"
"Chorus (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 579,000"
EARTH DEFENSE FORCE: IRON RAIN (English/Chinese/Korean/Japanese Ver.),"Rp 724,000"
"The Gardens Between (English, Korean, Japanese, Traditional Chinese)","Rp 279,000"
Ghost Recon Breakpoint - Standard Edition (English/Chinese/Korean/Japanese Ver.),"Rp 749,000"
"OMNO (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 199,000"
"Ghost Recon Wildlands - Digital Standard Edition (Simplified Chinese, English, Korean)","Rp 91,000"
"Bugsnax (Simplified Chinese, English, Korean, Japanese)","Rp 349,000"
"My Time at Portia (Simplified Chinese, English, Japanese, Traditional Chinese)","Rp 111,750"
Life is Strange Complete Season (English),"Rp 163,000"
LEGO® Batman™ 3: Beyond Gotham - PlayStation®Hits (English Ver.),"Rp 279,000"
"Far Cry 5 (Simplified Chinese, English, Korean, Traditional Chinese)","Rp 659,000"
TEKKEN 7 (English),"Rp 110,000"
"Far Cry Primal - Digital Standard Edition PlayStation®Hits (Simplified Chinese, English, Korean, Traditional Chinese)","Rp 279,000"
EARTH DEFENSE FORCE 5 (English/Chinese/Korean Ver.),"Rp 524,000"
"Far Cry New Dawn - Digital Standard Edition (Simplified Chinese, English, Korean)","Rp 519,000"
Street Fighter V: Champion Edition (Game),"Rp 144,500"
"Haven (Simplified Chinese, English, Japanese)","Rp 349,000"
RAGE 2 (English/Chinese/Korean Ver.),"Rp 579,000"
CODE VEIN (English),"Rp 749,000"
"Journey To The Savage Planet: Employee Of The Month (Simplified Chinese, English, Korean, Traditional Chinese)","Rp 422,000"
"Assassin's Creed Odyssey - Digital Standard Edition (Simplified Chinese, English, Korean, Traditional Chinese)","Rp 149,000"
DRAGON QUEST BUILDERS 2 (Chinese/Korean Ver.),"Rp 499,000"
DRAGONQUEST HEROES II Futago no Ou to Yogen no Owari (Chinese/Korean Ver.),"Rp 299,000"
"The Elder Scrolls V: Skyrim Special Edition - PS5 & PS4 (Simplified Chinese, English, Traditional Chinese)","Rp 532,000"
JUDGE EYES: wills of death New Price Edition (Chinese Ver.),"Rp 239,000"
Adventure Time Pirates of the Enchiridion (English),"Rp 665,000"
"Spiritfarer®: Farewell Edition (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 429,000"
"Stray (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 321,750"
"The Dark Pictures Anthology: Little Hope PS4 & PS5 (Simplified Chinese, English, Korean, Traditional Chinese)","Rp 119,600"
"Soundfall (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 429,000"
